Team,Wins,Losses,Ties,WinPct,Home-Record,Road-Record,Div,Conf,PF,PA,Pt-Diff,Streak
NE,10,2,0,0.833,4-2,6-0,3-0,7-1,348,223,125,W8
BUF,6,6,0,0.5,4-2,2-4,1-2,4-4,227,283,-56,L1
NYJ,5,7,0,0.417,4-3,1-4,2-3,5-4,266,288,-22,W1
MIA,5,7,0,0.417,3-3,2-4,1-2,4-4,209,298,-89,W1
PIT,10,2,0,0.833,4-1,6-1,4-0,7-1,281,213,68,W7
BAL,7,5,0,0.583,4-2,3-3,2-1,5-3,280,207,73,W3
CIN,5,7,0,0.417,3-3,2-4,2-3,5-6,219,238,-19,L1
CLE,0,12,0,0,0-6,0-6,0-4,0-10,176,308,-132,L12
TEN,8,4,0,0.667,5-1,3-3,4-1,7-4,266,282,-16,W2
JAX,8,4,0,0.667,4-2,4-2,3-1,8-2,299,178,121,W1
HOU,4,8,0,0.333,3-3,1-5,1-3,3-6,296,309,-13,L2
IND,3,9,0,0.25,2-4,1-5,1-4,2-6,205,330,-125,L3
KC,6,6,0,0.5,3-2,3-4,2-1,4-4,303,274,29,L4
LAC,6,6,0,0.5,3-3,3-3,2-2,4-5,268,212,56,W3
OAK,6,6,0,0.5,4-3,2-3,2-2,5-5,249,278,-29,W2
DEN,3,9,0,0.25,3-3,0-6,2-3,2-7,206,315,-109,L8
PHI,10,2,0,0.833,6-0,4-2,4-0,8-1,361,215,146,L1
DAL,6,6,0,0.5,3-4,3-2,3-1,5-4,286,284,2,W1
WSH,5,7,0,0.417,3-3,2-4,1-4,4-6,272,314,-42,L1
NYG,2,10,0,0.167,1-4,1-6,0-3,0-8,189,291,-102,L2
MIN,10,2,0,0.833,5-1,5-1,3-1,8-1,285,204,81,W8
DET,6,6,0,0.5,2-4,4-2,3-1,5-4,314,308,6,L2
GB,6,6,0,0.5,4-3,2-3,2-2,5-4,258,281,-23,W1
CHI,3,9,0,0.25,2-5,1-4,0-4,1-9,191,267,-76,L5
NO,9,3,0,0.75,5-1,4-2,3-0,7-2,353,243,110,NA
CAR,8,4,0,0.667,3-2,5-2,2-2,4-4,269,238,31,L1
ATL,7,5,0,.583,3-3,4-2,1-1,6-2,274,244,30,NA
TB,4,8,0,0.333,3-2,1-6,0-3,2-6,243,288,-45,L2
LAR,9,3,0,0.75,4-2,5-1,3-1,6-3,361,222,139,W2
SEA,8,4,0,0.667,4-2,4-2,4-0,6-3,290,222,68,W2
ARI,5,7,0,0.417,3-3,2-4,2-3,3-6,219,310,-91,L1
SF,2,10,0,0.167,1-5,1-5,0-5,2-9,202,298,-96,W1
