"Team","Wins","Losses","Ties","WinPct","Home-Record","Road-Record","Div","Conf","PF","PA","Pt-Diff","Streak"
"NE",12,3,0,0.8,"5-2","7-1","4-1","9-2",432,290,142,"W2"
"BUF",8,7,0,0.533,"6-2","2-5","2-3","6-5",280,343,-63,"L1"
"MIA",6,9,0,0.4,"4-3","2-6","2-3","5-6",265,371,-106,"L2"
"NYJ",5,10,0,0.333,"4-4","1-6","2-3","5-6",292,356,-64,"L3"
"PIT",12,3,0,0.8,"5-2","7-1","5-0","9-2",378,284,94,"W1"
"BAL",9,6,0,0.6,"5-2","4-4","3-2","7-4",368,272,96,"W2"
"CIN",6,9,0,0.4,"4-4","2-5","2-3","5-6",259,322,-63,"W1"
"CLE",0,15,0,0,"0-8","0-7","0-5","0-11",210,382,-172,"L15"
"JAX",10,5,0,0.667,"6-2","4-3","4-1","9-2",407,253,154,"L1"
"TEN",8,7,0,0.533,"5-2","3-5","4-1","7-4",319,346,-27,"L3"
"HOU",4,11,0,0.267,"3-5","1-6","1-4","3-8",325,414,-89,"L5"
"IND",3,12,0,0.2,"2-5","1-7","1-4","2-9",241,391,-150,"L6"
"KC",9,6,0,0.6,"6-2","3-4","4-1","7-4",388,315,73,"W3"
"LAC",8,7,0,0.533,"4-3","4-4","2-3","5-6",325,262,63,"W1"
"OAK",6,9,0,0.4,"4-4","2-5","2-3","5-6",291,343,-52,"L3"
"DEN",5,10,0,0.333,"4-3","1-7","2-3","4-7",265,355,-90,"L1"
"PHI",13,2,0,0.867,"7-0","6-2","5-0","10-1",457,289,168,"W3"
"DAL",8,7,0,0.533,"3-5","5-2","4-1","6-5",348,332,16,"L1"
"WSH",7,8,0,0.467,"5-3","2-5","1-4","5-6",332,370,-38,"W2"
"NYG",2,13,0,0.133,"1-6","1-7","0-5","0-11",228,378,-150,"L5"
"MIN",12,3,0,0.8,"6-1","6-2","4-1","9-2",359,242,117,"W2"
"DET",8,7,0,0.533,"3-4","5-3","4-1","7-4",375,365,10,"L1"
"GB",7,8,0,0.467,"4-4","3-4","2-3","5-6",309,349,-40,"L2"
"CHI",5,10,0,0.333,"3-5","2-5","0-5","1-10",254,297,-43,"W1"
"NO",11,4,0,0.733,"7-1","4-3","4-1","8-3",424,295,129,"W2"
"CAR",11,4,0,0.733,"6-2","5-2","3-2","7-4",353,305,48,"W3"
"ATL",9,6,0,0.6,"4-3","5-3","3-2","8-3",331,305,26,"L1"
"TB",4,11,0,0.267,"3-4","1-7","0-5","2-9",304,358,-54,"L5"
"LAR",11,4,0,0.733,"4-3","7-1","4-1","7-4",465,295,170,"W2"
"SEA",9,6,0,0.6,"4-3","5-3","4-1","7-4",342,306,36,"W1"
"ARI",7,8,0,0.467,"5-3","2-5","2-3","4-7",269,337,-68,"W1"
"SF",5,10,0,0.333,"3-5","2-5","0-5","2-9",297,370,-73,"W4"
