"Team","Wins","Losses","Ties","WinPct","PF","PA","Pt.Diff","Streak","Home.Wins","Home.Losses","Home.Ties","Road.Wins","Road.Losses","Road.Ties","Div.Wins","Div.Losses","Div.Ties","Conf.Wins","Conf.Losses","Conf.Ties"
"NE",10,2,0,0.833,348,223,125,"W8","4","2",0,"6","0",0,"3","0",0,"7","1",0
"BUF",6,6,0,0.5,227,283,-56,"L1","4","2",0,"2","4",0,"1","2",0,"4","4",0
"NYJ",5,7,0,0.417,266,288,-22,"W1","4","3",0,"1","4",0,"2","3",0,"5","4",0
"MIA",5,7,0,0.417,209,298,-89,"W1","3","3",0,"2","4",0,"1","2",0,"4","4",0
"PIT",10,2,0,0.833,281,213,68,"W7","4","1",0,"6","1",0,"4","0",0,"7","1",0
"BAL",7,5,0,0.583,280,207,73,"W3","4","2",0,"3","3",0,"2","1",0,"5","3",0
"CIN",5,7,0,0.417,219,238,-19,"L1","3","3",0,"2","4",0,"2","3",0,"5","6",0
"CLE",0,12,0,0,176,308,-132,"L12","0","6",0,"0","6",0,"0","4",0,"0","10",0
"TEN",8,4,0,0.667,266,282,-16,"W2","5","1",0,"3","3",0,"4","1",0,"7","4",0
"JAX",8,4,0,0.667,299,178,121,"W1","4","2",0,"4","2",0,"3","1",0,"8","2",0
"HOU",4,8,0,0.333,296,309,-13,"L2","3","3",0,"1","5",0,"1","3",0,"3","6",0
"IND",3,9,0,0.25,205,330,-125,"L3","2","4",0,"1","5",0,"1","4",0,"2","6",0
"KC",6,6,0,0.5,303,274,29,"L4","3","2",0,"3","4",0,"2","1",0,"4","4",0
"LAC",6,6,0,0.5,268,212,56,"W3","3","3",0,"3","3",0,"2","2",0,"4","5",0
"OAK",6,6,0,0.5,249,278,-29,"W2","4","3",0,"2","3",0,"2","2",0,"5","5",0
"DEN",3,9,0,0.25,206,315,-109,"L8","3","3",0,"0","6",0,"2","3",0,"2","7",0
"PHI",10,2,0,0.833,361,215,146,"L1","6","0",0,"4","2",0,"4","0",0,"8","1",0
"DAL",6,6,0,0.5,286,284,2,"W1","3","4",0,"3","2",0,"3","1",0,"5","4",0
"WSH",5,7,0,0.417,272,314,-42,"L1","3","3",0,"2","4",0,"1","4",0,"4","6",0
"NYG",2,10,0,0.167,189,291,-102,"L2","1","4",0,"1","6",0,"0","3",0,"0","8",0
"MIN",10,2,0,0.833,285,204,81,"W8","5","1",0,"5","1",0,"3","1",0,"8","1",0
"DET",6,6,0,0.5,314,308,6,"L2","2","4",0,"4","2",0,"3","1",0,"5","4",0
"GB",6,6,0,0.5,258,281,-23,"W1","4","3",0,"2","3",0,"2","2",0,"5","4",0
"CHI",3,9,0,0.25,191,267,-76,"L5","2","5",0,"1","4",0,"0","4",0,"1","9",0
"NO",9,3,0,0.75,353,243,110,NA,"5","1",0,"4","2",0,"3","0",0,"7","2",0
"CAR",8,4,0,0.667,269,238,31,"L1","3","2",0,"5","2",0,"2","2",0,"4","4",0
"ATL",7,5,0,0.583,274,244,30,NA,"3","3",0,"4","2",0,"1","1",0,"6","2",0
"TB",4,8,0,0.333,243,288,-45,"L2","3","2",0,"1","6",0,"0","3",0,"2","6",0
"LAR",9,3,0,0.75,361,222,139,"W2","4","2",0,"5","1",0,"3","1",0,"6","3",0
"SEA",8,4,0,0.667,290,222,68,"W2","4","2",0,"4","2",0,"4","0",0,"6","3",0
"ARI",5,7,0,0.417,219,310,-91,"L1","3","3",0,"2","4",0,"2","3",0,"3","6",0
"SF",2,10,0,0.167,202,298,-96,"W1","1","5",0,"1","5",0,"0","5",0,"2","9",0
