"Team","Wins","Losses","Ties","WinPct","Home-Record","Road-Record","Div","Conf","PF","PA","Pt-Diff","Streak"
"NE",11,3,0,0.786,"4-2","7-1","3-1","8-2",395,274,121,"W1"
"BUF",8,6,0,0.571,"6-2","2-4","2-2","6-4",264,306,-42,"W2"
"MIA",6,8,0,0.429,"4-3","2-5","2-3","5-5",252,342,-90,"L1"
"NYJ",5,9,0,0.357,"4-3","1-6","2-3","5-5",285,342,-57,"L2"
"PIT",11,3,0,0.786,"5-2","6-1","5-0","8-2",344,278,66,"L1"
"BAL",8,6,0,0.571,"4-2","4-4","3-2","6-4",345,256,89,"W1"
"CIN",5,9,0,0.357,"3-4","2-5","2-3","5-6",233,305,-72,"L3"
"CLE",0,14,0,0,"0-8","0-6","0-5","0-11",207,362,-155,"L14"
"JAX",10,4,0,0.714,"6-2","4-2","4-1","9-2",374,209,165,"W3"
"TEN",8,6,0,0.571,"5-1","3-5","4-1","7-4",296,319,-23,"L2"
"HOU",4,10,0,0.286,"3-4","1-6","1-4","3-7",319,380,-61,"L4"
"IND",3,11,0,0.214,"2-5","1-6","1-4","2-8",225,368,-143,"L5"
"KC",8,6,0,0.571,"5-2","3-4","4-1","6-4",359,302,57,"W2"
"LAC",7,7,0,0.5,"4-3","3-4","2-3","4-6",311,255,56,"L1"
"OAK",6,8,0,0.429,"4-4","2-4","2-3","5-6",281,324,-43,"L2"
"DEN",5,9,0,0.357,"4-3","1-6","2-3","4-7",254,328,-74,"W2"
"PHI",12,2,0,0.857,"6-0","6-2","5-0","10-1",438,279,159,"W2"
"DAL",8,6,0,0.571,"3-4","5-2","4-1","6-4",336,311,25,"W3"
"WSH",6,8,0,0.429,"4-3","2-5","1-4","5-6",305,359,-54,"W1"
"NYG",2,12,0,0.143,"1-6","1-6","0-5","0-10",228,355,-127,"L4"
"MIN",11,3,0,0.786,"6-1","5-2","3-1","8-2",343,242,101,"W1"
"DET",8,6,0,0.571,"3-4","5-2","4-1","7-4",358,339,19,"W2"
"GB",7,7,0,0.5,"4-3","3-4","2-2","5-5",309,333,-24,"L1"
"CHI",4,10,0,0.286,"2-5","2-5","0-5","1-10",234,294,-60,"L1"
"NO",10,4,0,0.714,"6-1","4-3","3-1","7-3",401,282,119,"W1"
"CAR",10,4,0,0.714,"5-2","5-2","2-2","6-4",331,286,45,"W2"
"ATL",9,5,0,0.643,"4-3","5-2","3-1","8-2",318,282,36,"W2"
"TB",4,10,0,0.286,"3-4","1-6","0-4","2-8",285,336,-51,"L4"
"LAR",10,4,0,0.714,"4-3","6-1","4-1","7-4",438,272,166,"W1"
"SEA",8,6,0,0.571,"4-3","4-3","4-1","6-4",321,294,27,"L2"
"ARI",6,8,0,0.429,"4-3","2-5","2-3","3-7",246,337,-91,"L1"
"SF",4,10,0,0.286,"2-5","2-5","0-5","2-9",253,337,-84,"W3"
